t,luma,
0.000,47.0
0.080,128.2
0.160,55.5
0.240,114.4
0.320,89.9
0.400,83.5
0.480,120.5
0.560,61.4
0.640,135.9
0.720,45.1
0.800,127.7
0.880,50.2
0.960,124.4
1.040,58.3
1.120,100.1
1.200,88.4
1.280,67.3
1.360,120.1
1.440,42.1
1.520,129.8
1.600,51.3
1.680,131.6
1.760,57.1
1.840,130.5
1.920,77.6
2.000,107.0
2.080,108.2
2.160,68.9
2.240,133.3
2.320,46.9
2.400,141.6
2.480,56.9
2.560,140.0
2.640,62.7
2.720,130.8
2.800,93.2
2.880,95.7
2.960,119.9
3.040,73.4
3.120,131.1
3.200,53.0
3.280,138.8
3.360,45.7
3.440,129.4
3.520,59.4
