t,luma,
0.000,43.7
0.080,133.6
0.160,40.8
0.240,137.8
0.320,47.8
0.400,141.1
0.480,48.4
0.560,120.7
0.640,53.0
0.720,98.5
0.800,77.4
0.880,66.7
0.960,107.2
1.040,50.2
1.120,126.9
1.200,39.6
1.280,135.3
1.360,42.7
1.440,138.1
1.520,47.8
1.600,128.5
1.680,41.5
1.760,111.3
1.840,62.0
1.920,82.2
2.000,86.5
2.080,49.4
2.160,115.4
2.240,40.1
2.320,128.8
2.400,43.0
2.480,133.6
2.560,43.7
2.640,139.8
2.720,47.7
2.800,125.7
2.880,53.7
2.960,95.3
3.040,78.5
3.120,80.5
3.200,115.8
3.280,50.2
3.360,131.8
3.440,44.3
3.520,138.1
3.600,56.1
