t,luma,
0.000,37.4
0.080,103.3
0.160,130.6
0.240,35.6
0.320,49.9
0.400,130.5
0.480,60.2
0.560,35.6
0.640,130.4
0.720,115.0
0.800,37.0
0.880,104.6
0.960,130.4
1.040,36.1
1.120,51.5
1.200,129.0
1.280,65.2
1.360,35.6
1.440,128.8
1.520,112.3
1.600,36.8
1.680,101.3
1.760,130.3
1.840,37.1
1.920,51.3
2.000,130.3
2.080,62.7
2.160,35.9
2.240,129.3
2.320,109.1
2.400,38.1
2.480,96.2
2.560,130.2
2.640,36.0
2.720,47.0
2.800,129.9
2.880,64.1
2.960,35.7
3.040,127.8
3.120,114.6
3.200,36.3
3.280,95.4
3.360,130.5
3.440,37.0
3.520,46.4
3.600,129.2
3.680,63.2
3.760,36.1
3.840,127.1
3.920,113.4
4.000,38.2
4.080,89.2
4.160,130.0
4.240,36.5
4.320,44.7
